week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
2019-01-06,32,37530273.1,Aladdin,New Amsterdam Theatre,1634003,1711079,120.01,227.5,13616,1727,0.9855,8,0
2019-01-06,32,37530273.1,American Son,Booth Theatre,563571.95,888864,103.52,248,5444,774,0.8792,8,0
2019-01-06,32,37530273.1,Anastasia,Broadhurst Theatre,785201.1,962806,107.12,273,7330,1143,0.9161,7,0
2019-01-06,32,37530273.1,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,623691.2,1106908,86.47,247,7213,1026,0.8788,8,0
2019-01-06,32,37530273.1,Chicago,Ambassador Theatre,695186.36,967724,100.9,238,6890,1080,0.7975,8,0
2019-01-06,32,37530273.1,Choir Boy,Samuel J. Friedman Theatre,239473.5,628152,49.09,199,4878,637,0.9572,0,8
2019-01-06,32,37530273.1,Come From Away,Gerald Schoenfeld Theatre,1057354.9,1154784,123.77,297,8543,1046,1.0209,8,0
2019-01-06,32,37530273.1,Dear Evan Hansen,Music Box Theatre,1455251.9,1352224,181.95,448,7998,984,1.016,8,0
2019-01-06,32,37530273.1,Frozen,St. James Theatre,1675853.5,1501264,125.22,349.5,13383,1684,0.9934,8,0
2019-01-06,32,37530273.1,Hamilton,Richard Rodgers Theatre,3344261,2954373,310.89,849,10757,1321,1.0179,8,0
2019-01-06,32,37530273.1,"Harry Potter and the Cursed Child, Parts One and Two",Lyric Theatre,2251788,1988464,173.53,296.5,12976,1622,1,8,0
2019-01-06,32,37530273.1,Head Over Heels,Hudson Theatre,342866.5,883552,58.03,258,5908,963,0.8764,7,0
2019-01-06,32,37530273.1,King Kong,Broadway Theatre,799952.08,1407714,99.99,397,8000,1738,0.6576,7,0
2019-01-06,32,37530273.1,Kinky Boots,Al Hirschfeld Theatre,760266.75,1294256,94.44,249,8050,1424,0.7066,8,0
2019-01-06,32,37530273.1,Mean Girls,August Wilson Theatre,1444083.75,1328576,146.68,324.5,9845,1225,1.0046,8,0
2019-01-06,32,37530273.1,Mike Birbiglia's The New One,Cort Theatre,353461.5,972304,68.73,223,5143,1073,0.5991,8,0
2019-01-06,32,37530273.1,My Fair Lady,Vivian Beaumont Theater,1038006,1396120,131.73,323,7880,1069,0.9214,8,0
2019-01-06,32,37530273.1,Network,Belasco Theatre,1196999.76,1089780,148.53,473,8059,1015,0.9925,8,0
2019-01-06,32,37530273.1,Once On This Island,Circle in the Square Theatre,727235.5,792176,125.86,249.5,5778,696,1.0377,8,0
2019-01-06,32,37530273.1,Pretty Woman: The Musical,Nederlander Theatre,940504.2,1365328,115.23,275,8162,1168,0.8735,8,0
2019-01-06,32,37530273.1,School of Rock - The Musical,Winter Garden Theatre,1057603.6,1443688,94.02,273,11249,1523,0.9233,8,0
2019-01-06,32,37530273.1,The Band's Visit,Ethel Barrymore Theatre,534785,900177,90.26,297,5925,1039,0.8147,7,0
